Song,Artist,Pack,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Side,BPM,Version,Date,Version,Date,Original
DRG,onoken,Cytus II 2,_NITRO,PST 3,3.5,380,_HARD,PRS 7,7.0,624,_CHAOS,FTR 9,9.5,872,N/A,,,,Light,155,4.6.0,23/7/19,N/A,,
99 Glooms,Sta,Cytus II 2,終点,PST 4,4.0,637,終点,PRS 7+,7.8,774,終点,FTR 10,10.3,"1,294",N/A,,,,Conflict,185,4.6.0,23/7/19,N/A,,
͟͝͞Ⅱ́̕,Cytus,Cytus II 2," Corrupted data Recovery progress
......100%",PST 5,5.0,690,"Main_Log_
702_10_25",PRS 8+,8.9,816,"Cam_Library_
702_12_29",FTR 10+,10.8,"1,051",N/A,,,,Conflict,130-150,4.6.0,23/7/19,N/A,,
Magnolia,"M2U
Vocal by Guriri",Cytus II 2,Lacrimosa,PST 4,4.5,625,Lacrimosa,PRS 7+,7.8,726,Lacrimosa,FTR 10,10.2,895,N/A,,,,Light,160,4.6.0,23/7/19,N/A,,
Ultimate taste,ぱらどっと,Extend Archive 2: Chronicles,"Arcaea
Charting Team",PST 3,3.5,828,"Arcaea
Charting Team",PRS 6,6.5,"1,008",Arcaea Charting Team 【Full Flavor】,FTR 9+,9.7,"1,405",N/A,,,,Light,200,4.6.0,23/7/19,N/A,,
WAIT FOR DAWN,"U-ske feat.
棗いつき",Lasting Eden,én,PST 2,2.5,596,én,PRS 7+,7.8,636,én,FTR 8+,8.7,861,N/A,,,,Light,188,4.7.0,23/8/18,N/A,,✓
Raven's Pride,"みーに feat.
はらもりよしな",Lasting Eden,Exschwasion,PST 3,3.0,697,Exschwasion,PRS 7,7.0,797,Exschwasion,FTR 9,9.4,"1,030",N/A,,,,Conflict,165,4.7.0,23/8/18,N/A,,✓
Rise of the World,cosMo＠暴走P,Lasting Eden,N⇑TRO,PST 4,4.5,722,N⇑TRO,PRS 8,8.1,843,N⇑TRO,FTR 10,10.4,"1,176",N/A,,,,Light,182-212,4.7.0,23/8/18,N/A,,✓
UNKNOWN LEVELS,Yuta Imai,Lasting Eden,Toaster,PST 4,4.0,591,Toaster,PRS 8,8.1,771,⇓ 東星 vs Toaster ⇓,FTR 10,10.6,"1,149",N/A,,,,Conflict,110-165,4.7.0,23/8/18,N/A,,✓
Abstruse Dilemma,"Ashrount vs.
打打だいず",Lasting Eden,Remnant ⇐ Guilt,PST 5,5.5,983,Remnant ⇒ Doubt,PRS 8+,8.9,"1,127","Remnant ⇑
⇓ Volition",FTR 11,11.1,"1,467",N/A,,,,Light,216,4.7.0,23/8/18,N/A,,✓
RGB,MEMODEMO × AQUASINE,Extend Archive 2: Chronicles,NO₂,PST 4,4.0,652,NO₂,PRS 7+,7.8,803,NO₂,FTR 9+,9.7,"1,131",N/A,,,,Light,163,4.7.0,23/8/18,N/A,,✓
"SACRIFICE
feat. ayame",Masayoshi Minoshima(ALR),Memory Archive: Pop/Recommended,Luxance,PST 3,3.5,548,Luxance,PRS 7,7.5,779,Luxance,FTR 9+,9.7,958,N/A,,,,Conflict,180,4.7.0,23/8/18,N/A,,
Kanjou no Matenrou ～Arr.Demetori,Demetori,Extend Archive 2: Chronicles,Exschwasion,PST 3,3.5,736,Exschwasion,PRS 6,6.5,929,N•Ex•T,FTR 9+,9.8,"1,294",N/A,,,,Conflict,178,4.7.2,23/9/14,N/A,,
"To the
Furthest Dream","ii/night
feat. 綺良雪",Memory Archive: Original,,PST 4,4.5,836,,PRS 8,8.5,994,,FTR 9+,9.8,"1,102",N/A,,,,Silent,183,4.7.2,23/9/14,N/A,,✓
Primeval Texture,くるぶっこちゃん,Severed Eden,CERiNG,PST 3,3.0,387,CERiNG,PRS 7,7.5,525,CERiNG,FTR 9,9.0,810,N/A,,,,Light,120,5.0.0,23/9/27,N/A,,✓
Technicolour,Maozon,Severed Eden,KLMNOP,PST 3,3.5,644,KLMNOP,PRS 7,7.0,812,KLMNOP,FTR 9+,9.8,"1,140",N/A,,,,Light,175,5.0.0,23/9/27,N/A,,✓
Ego Eimi,"BlackY feat.
Risa Yuzuki",Severed Eden,東星,PST 5,5.5,801,東星,PRS 8,8.6,937,東星,FTR 10,10.5,"1,223",N/A,,,,Conflict,178,5.0.0,23/9/27,N/A,,✓
Logos,"polysha
feat. 高城みよ",Severed Eden,絶滅,PST 4,4.0,697,絶滅,PRS 7+,7.8,798,絶滅,FTR 10,10.1,"1,040",N/A,,,,Conflict,189,5.0.0,23/9/27,N/A,,✓
Arghena,"Feryquitous
vs. Laur",Severed Eden,"第一識 ""Reality""",PST 7,7.5,883,"第二識 ""Causality""",PRS 9,9.4,"1,082","第三識 ""Pluriversality""",FTR 11,11.3,"1,444",N/A,,,,Conflict,185,5.0.0,23/9/27,N/A,,✓
Remind the Souls (Short Version),Nhato,Arcaea,Nitro,PST 3,3.5,561,Nitro,PRS 7,7.0,756,Nitro,FTR 9,9.5,945,N/A,,,,Light,130,5.0.0,23/9/27,N/A,,
Dynitikós,Prower,Extend Archive 2: Chronicles,Exschwasión,PST 4,4.0,683,Exschwasión,PRS 7,7.5,894,Exschwasión,FTR 9,9.5,986,N/A,,,,Conflict,180,5.0.0,23/9/27,N/A,,✓
Amekagura,荒谷サトル,Extend Archive 2: Chronicles,antymis,PST 4,4.0,741,antymis,PRS 7,7.5,851,antymis,FTR 9+,9.9,"1,076",N/A,,,,Light,105,5.0.0,23/9/27,N/A,,✓
B.B.K.K.B.K.K.,nora2r,Memory Archive: Variety,E.E.X.X.E.X.X.,PST 4,4.5,669,E.E.X.X.E.X.X.,PRS 7,7.0,708,E.E.X.X.E.X.X.,FTR 9+,9.7,976,N/A,,,,Conflict,170,5.0.0,23/9/27,N/A,,
Transient Space,"sleepless,
Gardens, aspect",Shifting Veil,CERiNG -liminal-,PST 2,2.5,419,CERiNG -liminal-,PRS 7,7.0,607,CERiNG -liminal-,FTR 9,9.5,805,N/A,,,,Conflict,115-132,5.1.0,23/10/26,N/A,,✓
Nameless Passion,天束 feat. Sennzai,Shifting Veil,Luxance,PST 3,3.0,681,Luxance,PRS 7,7.0,890,Luxance,FTR 9+,9.9,"1,223",N/A,,,,Conflict,200,5.1.0,23/10/26,N/A,,✓
TeraVolt,Katali,Shifting Veil,夜浪,PST 5,5.0,675,夜浪,PRS 8+,8.9,804,超東星 × 雷夜浪,FTR 10+,10.9,"1,008",N/A,,,,Conflict,154,5.1.0,23/10/26,N/A,,✓
FANTA5Y,Moon Jelly & YUKIYANAGI,Extend Archive 2: Chronicles,TOA5TIE,PST 3,3.0,536,TOA5TIE,PRS 7,7.0,715,TOA5TIE,FTR 9,9.4,965,N/A,,,,Light,170,5.1.0,23/10/26,N/A,,✓
Stratoliner,C-Show,WACCA 2,Exschwasion,PST 3,3.5,535,Exschwasion,PRS 6,6.5,702,Exschwasion,FTR 9,9.6,877,N/A,,,,Conflict,175,5.2.0,23/11/30,N/A,,
Ouvertüre,"USAO & DJ Genki
feat. ルーン
(CV: 河瀬茉希)",WACCA 2,るくあんす,PST 2,2.5,583,るくあんす,PRS 7,7.5,786,るくあんす,FTR 9+,9.8,913,N/A,,,,Conflict,200,5.2.0,23/11/30,N/A,,
Alone & Lorn,"Ponchi♪
feat. はぁち",Extend Archive 2: Chronicles,én,PST 3,3.0,643,én,PRS 6,6.5,742,én & KLMNOP,FTR 9,9.6,970,N/A,,,,Light,100,5.2.0,23/11/30,N/A,,✓
Wish Upon a Snow,打打だいず,Memory Archive: Original,0°絶滅,PST 4,4.5,"1,031",0°絶滅,PRS 7,7.5,"1,095",0°絶滅,FTR 10,10.5,"1,309",N/A,,,,Light,218,5.2.0,23/11/30,N/A,,✓
felys final remix,onoken,Extend Archive 2: Chronicles,Dec18,PST 3,3.0,626,Dec18,PRS 6,6.5,771,Dec18,FTR 9,9.5,"1,130",N/A,,,,Conflict,180,5.2.2,23/12/21,N/A,,
"On And On!!
feat. Jenga",ETIA.,Extend Archive 2: Chronicles,én and én!!,PST 3,3.0,370,én and én!!,PRS 7,7.0,616,én and én!!,FTR 9,9.5,836,N/A,,,,Light,170,5.2.2,23/12/21,N/A,,
LIVHT MY WΔY,かめりあ feat. STΔRLIVHT,Memory Archive: Music Game,"k//eternal + nitro ""ephemeral past""",PST 4,4.5,673,"k//eternal + nitro ""recursive present""",PRS 7,7.5,738,"k//eternal + nitro ""convergent future""",FTR 9+,9.8,954,N/A,,,,Conflict,190,5.2.2,23/12/21,N/A,,
Kanbu de Tomatte Sugu Tokeru,ARM + 夕野ヨシミ (IOSYS) feat. miko,Memory Archive: Pop/Recommended,C7H11NO配合!!!!!!,PST 4,4.0,584,C7H11NO配合!!!!!!,PRS 7,7.5,714,C7H11NO配合!!!!!!,FTR 10,10.0,"1,108",N/A,,,,Light,200,5.2.2,23/12/21,N/A,,
Hotarubi no Yuki,Endorfin.,Sunset Radiance,0°Nitro,PST 3,3.5,589,0°Nitro,PRS 7,7.0,733,0°Nitro,FTR 9+,9.7,991,N/A,,,,Light,159,5.2.6,24/1/12,N/A,,✓
Vicious [ANTi] Heroism,Kobaryo,Absolute Reason,N/A,,,,N/A,,,,N/A,,,,"[FUTiLE]
Defiance",BYD 11,11.1,"1,772",Conflict,271,N/A,,5.3.0,24/1/25,✓
The Formula,Junk,Arcaea,Dec18,PST 3,3.0,427,Dec18,PRS 6,6.0,587,Dec18,FTR 9,9.3,957,N/A,,,,Light,144,5.3.0,24/1/25,N/A,,
Luna Rossa,r0y,Memory Archive: Music Game,Luxance,PST 3,3.0,443,Luxance,PRS 6,6.0,578,Luxance,FTR 9+,9.7,920,N/A,,,,Conflict,174,5.3.0,24/1/25,N/A,,
Jingle,DJ Noriken,Arcaea,Exschwasion,PST 2,2.5,530,Exschwasion,PRS 5,5.5,741,Exschwasion,FTR 7+,7.8,848,KLMNOP,ETR 9,9.5,"1,047",Light,170,5.4.0,24/3/8,5.4.0,24/3/8,
Aleph-0,LeaF,Extend Archive 2: Chronicles,ə₀,PST 5,5.5,388,ə₀,PRS 8+,8.8,579,ə₀,FTR 10,10.5,919,N/A,,,,Conflict,35-400,5.4.0,24/3/8,N/A,,
Innocence,"Powerless
feat. Sennzai",Memory Archive: Original,First Dawn,PST 3,3.0,734,First Dawn,PRS 6,6.5,811,First Dawn,FTR 8,8.5,"1,023",First Dawn,ETR 9+,9.7,"1,157",Light,190,5.4.0,24/3/8,5.4.0,24/3/8,✓
IONOSTREAM,Tatsh,Memory Archive: Music Game,Nitro,PST 3,3.5,845,Nitro,PRS 6,6.0,890,Dec18 + Nitro,FTR 8+,8.7,818,Dec18 + Nitro,ETR 9+,9.7,871,Conflict,220-254,5.4.0,24/3/8,5.4.0,24/3/8,
"Masquerade
Legion","Srav3R &
DJ Noriken",Memory Archive: Original,"Nitro
「The Veiled」",PST 3,3.5,510,"Nitro
「The Veiled」",PRS 6,6.5,698,"Nitro
「The Veiled」",FTR 10,10.0,"1,064",N/A,,,,Conflict,175,5.4.0,24/3/8,N/A,,✓
Qovat,owl＊tree,Memory Archive: Original,ex＊tree,PST 4,4.5,519,ex＊tree,PRS 8,8.2,765,ny＊tree,FTR 10,10.6,"1,299",N/A,,,,Conflict,122,5.4.0,24/3/8,N/A,,✓
KYOREN ROMANCE,"REDALiCE
vs. DJ Myosuke
feat. DELUTAYA",Memory Archive: Partner,Dec18 + Nitro,PST 4,4.0,821,Dec18 + Nitro,PRS 7+,7.8,982,Dec18 + Nitro,FTR 10+,10.7,"1,519",N/A,,,,Conflict,205,5.4.0,24/3/8,N/A,,✓
HELLOHELL,暁Records,World Extend 3: Illusions,én,PST 2,2.5,466,én,PRS 5,5.0,445,én,FTR 7,7.5,673,eién,ETR 9,9.4,770,Conflict,155,5.5.0,24/3/25,5.5.0,24/3/25,
MORNINGLOOM,saaa,World Extend 3: Illusions,Exschwasion • 8:00,PST 3,3.0,710,Exschwasion • 8:21,PRS 6,6.5,829,Exschwasion • 8:45,FTR 8+,8.8,940,Exschwasion • 8:46,ETR 9+,9.8,"1,035",Light,102,5.5.0,24/3/25,5.5.0,24/3/25,
〇、,Kolaa & 熊子,World Extend 3: Illusions,CERiNG、,PST 2,2.5,368,CERiNG、,PRS 6,6.5,519,CERiNG、,FTR 9,9.5,708,N/A,,,,Light,145,5.5.0,24/3/25,N/A,,
Awaken In Ruins,Supa7onyz,World Extend 3: Illusions,antymis,PST 3,3.5,412,antymis,PRS 7,7.5,570,antymis,FTR 9+,9.9,754,N/A,,,,Conflict,125,5.5.0,24/3/25,N/A,,
Lethal Voltage,siqlo,World Extend 3: Illusions,moonquay [EMP],PST 4,4.5,724,moonquay [FLASH],PRS 7+,7.8,922,moonquay [SHOCK],FTR 10,10.4,"1,497",N/A,,,,Conflict,190,5.5.0,24/3/25,N/A,,✓
MIRINAE,TAK × Zekk,Memory Archive: Original,N↑TRO,PST 4,4.5,646,N↑TRO,PRS 8,8.3,881,N↑TRO,FTR 10,10.5,"1,277",N/A,,,,Light,180,5.5.0,24/3/25,N/A,,✓
HIVEMIND INTERLINKED,かたぎり,Extend Archive 1: Visions,N/A,,,,N/A,,,,"《WARNING》
Arcaea Cognition Team -assimilated-",FTR ?,0.0,"1,445",N/A,,,,Conflict,252,5.5.6,24/4/1,N/A,,✓
ultradiaxon-N3,nitro (lowiro),Memory Archive: Partner,Nitro,PST 4,4.5,605,Nitro,PRS 8,8.5,896,Nitro,FTR 10,10.5,"1,228",N/A,,,,Conflict,150,5.5.6,24/4/1,N/A,,✓
Leave All Behind,rider,World Extend 3: Illusions,Luxance,PST 2,2.0,380,Luxance,PRS 5,5.5,488,Luxance,FTR 9,9.2,828,N/A,,,,Conflict,150,5.6.0,24/4/26,N/A,,
Distorted Fate,Sakuzyo,Memory Archive: Music Game,Toaster,PST 4,4.5,756,Toaster,PRS 7+,7.8,890,Toaster,FTR 9,9.6,"1,172","TOASTER
DATA PATCHER",ETR 10+,10.9,"1,402",Conflict,150,5.6.0,24/4/26,5.6.0,24/4/26,
Floating World,baker feat. botan,Memory Archive: Partner,én,PST 3,3.0,753,én,PRS 7,7.0,793,én,FTR 9,9.3,"1,047",N/A,,,,Light,174,5.6.0,24/4/26,N/A,,✓
Désive,MisomyL,Memory Archive: Partner,Yearning Call,PST 5,5.0,"1,007",Yearning Call,PRS 8,8.0,"1,051",Yearning Call,FTR 9+,9.9,"1,273",Yearning Call,ETR 10+,10.8,"1,340",Light,180-230,5.6.0,24/4/26,5.6.0,24/4/26,✓
Chromafill,ていぬ,Memory Archive: Partner,"exschwasion
-彩色-",PST 4,4.0,757,"exschwasion
-彩色-",PRS 7,7.0,890,"exschwasion
-彩色-",FTR 10,10.0,"1,130",N/A,,,,Light,179,5.6.0,24/4/26,N/A,,✓
Hidden Rainbows of Epicurus,"SYNC.ART'S
feat. Misato",Arcaea,Dec18,PST 2,2.5,595,Dec18,PRS 5,5.5,644,Dec18,FTR 7,7.5,783,Dec18,ETR 8+,8.8,884,Light,155,5.7.0,24/5/30,5.7.0,24/5/30,
Old School Salvage,DJ SHARPNEL,World Extend 3: Illusions,antymis,PST 4,4.0,705,antymis,PRS 7+,7.8,950,antymis + Nitro,FTR 9+,9.8,"1,316",N/A,,,,Conflict,205,5.7.0,24/5/30,N/A,,✓
Twilight Concerto,Scarlette,Memory Archive: Music Game,Exschwasion,PST 4,4.5,584,Exschwasion,PRS 7+,7.8,634,Exschwasion,FTR 9,9.5,803,Exschwasion,ETR 10,10.4,962,Conflict,194,5.7.0,24/5/30,5.7.0,24/5/30,
Beautiful Dreamer,M-Project,Memory Archive: Original,CERiNG,PST 4,4.0,611,CERiNG,PRS 7+,7.8,773,CERiNG,FTR 9+,9.9,"1,139",N/A,,,,Light,188,5.7.0,24/5/30,N/A,,✓
Back to Basics,m1dy,Memory Archive: Original,夜浪 THE FUMEn ANARCHIST,PST 5,5.0,717,夜浪 THE FUMEn ANARCHIST,PRS 8+,8.7,"1,115",夜浪 THE FUMEn ANARCHIST,FTR 10,10.5,"1,544",N/A,,,,Conflict,420,5.7.0,24/5/30,N/A,,✓
"Sign of ""10.5km""",渡部恭久,Groove Coaster 2,Dec18,PST 3,3.0,490,Dec18,PRS 6,6.5,564,Dec18,FTR 9,9.2,735,N/A,,,,Light,160,5.8.0,24/6/27,N/A,,
10pt8ion,Lite Show Magic,Groove Coaster 2,Nitro,PST 4,4.0,475,Nitro,PRS 7+,7.8,704,Nite Schwa Power,FTR 9+,9.7,906,Nite Schwa Power,ETR 10,10.4,"1,087",Conflict,128-185,5.8.0,24/6/27,5.8.0,24/6/27,
Black MInD,COSIO,Groove Coaster 2,聖輪,PST 5,5.0,601,聖輪,PRS 8,8.0,754,聖輪,FTR 10+,10.8,"1,274",N/A,,,,Conflict,192,5.8.0,24/6/27,N/A,,
STARGATE EXTREME,KARUT,Memory Archive: Music Game,én,PST 4,4.0,337,én,PRS 6,6.0,430,én,FTR 9,9.3,724,eién,ETR 10,10.0,915,Conflict,150,5.8.0,24/6/27,5.8.0,24/6/27,
HYPER VISION,VOLTA,Memory Archive: Partner,NITRO,PST 4,4.5,639,NITRO,PRS 7,7.5,839,NITRO,FTR 9+,9.8,"1,040",N/A,,,,Conflict,155,5.8.0,24/6/27,N/A,,✓

